id,x1,y1
A0,151,45
A1,178,45
A2,205,45
A3,232,45
A4,259,45
A5,286,45
A6,312,45
A7,352,45
A8,379,45
A9,406,45
A10,433,45
A11,460,45
A12,487,45
A13,514,45
A14,541,45
A15,580,45
A16,607,45
A17,634,45
A18,661,45
A19,688,45
A20,715,45
A21,742,45
A22,769,45
A23,808,45
A24,835,45
A25,862,45
A26,889,45
A27,916,45
A28,943,45
A29,232,122
A30,259,122
A31,286,122
A32,313,122
A33,352,122
A34,379,122
A35,406,122
A36,433,122
A37,460,122
A38,487,122
A39,514,122
A40,541,122
A41,580,122
A42,607,122
A43,634,122
A44,661,122
A45,688,122
A46,715,122
A47,742,122
A48,769,122
A49,808,122
A50,835,122
A51,862,122
A52,232,154
A53,259,154
A54,286,154
A55,313,154
A56,352,154
A57,379,154
A58,406,154
A59,433,154
A60,460,154
A61,487,154
A62,514,154
A63,541,154
A64,580,154
A65,607,154
A66,634,154
A67,661,154
A68,688,154
A69,715,154
A70,742,154
A71,769,154
A72,808,154
A73,835,154
A74,862,154
A75,151,233
A76,178,233
A77,205,233
A78,232,233
A79,259,233
A80,286,233
A81,312,233
A82,352,233
A83,379,233
A84,406,233
A85,433,233
A86,460,233
A87,487,233
A88,514,233
A89,541,233
A90,580,233
A91,607,233
A92,634,233
A93,661,233
A94,688,233
A95,715,233
A96,742,233
A97,769,233
A98,808,233
A99,835,233
A100,862,233
A101,889,233
A102,916,233
A103,943,233
B104,195,284
B105,222,284
B106,249,284
B107,276,284
B108,303,284
B109,330,284
B110,357,284
B111,384,284
B112,411,284
B113,438,284
B114,465,284
B115,492,284
B116,519,284
B117,546,284
B118,573,284
B119,600,284
B120,627,284
B121,654,284
B122,681,284
B123,708,284
B124,735,284
B125,762,284
B126,789,284
B127,816,284
B128,843,284
B129,870,284
B130,897,284
B131,924,284
B132,97,368
B133,124,368
B134,151,368
B135,178,368
B136,205,368
B137,247,357
B138,316,357
B139,385,357
B140,465,368
B141,492,368
B142,519,368
B143,546,368
B144,573,368
B145,600,368
B146,627,368
B147,654,368
B148,695,368
B149,722,368
B150,749,368
B151,776,368
B152,803,368
B153,830,368
B154,857,368
B155,884,368
B156,911,368
B157,124,405
B158,151,405
B159,178,405
B160,205,405
B161,457,405
B162,484,405
B163,511,405
B164,538,405
B165,580,405
B166,607,405
B167,634,405
B168,661,405
B169,688,405
B170,715,405
B171,742,405
B172,769,405
B173,808,405
B174,835,405
B175,862,405
B176,889,405
B177,916,405
B178,943,405
B179,970,405
B180,997,405
B181,1038,405
B182,1065,405
B183,124,483
B184,151,483
B185,178,483
B186,205,483
B187,232,483
B188,259,483
B189,286,483
B190,313,483
B191,348,483
B192,375,483
B193,402,483
B194,429,483
B195,456,483
B196,483,483
B197,510,483
B198,537,483
B199,578,483
B200,605,483
B201,632,483
B202,659,483
B203,686,483
B204,713,483
B205,740,483
B206,767,483
B207,807,483
B208,834,483
B209,861,483
B210,888,483
B211,915,483
B212,942,483
B213,969,483
B214,996,483
B215,124,515
B216,151,515
B217,178,515
B218,205,515
B219,232,515
B220,259,515
B221,286,515
B222,313,515
B223,348,515
B224,375,515
B225,402,515
B226,429,515
B227,456,515
B228,483,515
B229,510,515
B230,537,515
B231,578,515
B232,605,515
B233,632,515
B234,659,515
B235,686,515
B236,713,515
B237,740,515
B238,767,515
B239,807,515
B240,834,515
B241,861,515
B242,888,515
B243,915,515
B244,942,515
B245,969,515
B246,996,515
B247,112,594
B248,152,594
B249,192,594
B250,232,594
B251,272,594
B252,312,594
B253,347,594
B254,374,594
B255,401,594
B256,428,594
B257,455,594
B258,482,594
B259,509,594
B260,536,594
B261,578,594
B262,605,594
B263,632,594
B264,659,594
B265,686,594
B266,713,594
B267,740,594
B268,767,594
B269,806,594
B270,833,594
B271,860,594
B272,887,594
B273,914,594
B274,941,594
B275,968,594
B276,995,594
B277,1022,594
B278,1049,594
