id,x1,y1,lat,lng,type
A0,151,45,53.982777,-6.392986,N/A
A1,178,45,53.982786,-6.392952,N/A
A2,205,45,53.982789,-6.392917,N/A
A3,232,45,53.982796,-6.39288,N/A
A4,259,45,53.982803,-6.392847,N/A
A5,286,45,53.98281,-6.392812,N/A
A6,312,45,53.982818,-6.392777,N/A
A7,352,45,53.982827,-6.392724,N/A
A8,379,45,53.982833,-6.392689,N/A
A9,406,45,53.982841,-6.392653,N/A
A10,433,45,53.982848,-6.392617,N/A
A11,460,45,53.982854,-6.392584,N/A
A12,487,45,53.982861,-6.392548,N/A
A13,514,45,53.982867,-6.39251,N/A
A14,541,45,53.982873,-6.392475,N/A
A15,580,45,53.982885,-6.392428,N/A
A16,607,45,53.98289,-6.392389,N/A
A17,634,45,53.982896,-6.392355,N/A
A18,661,45,53.982903,-6.392318,N/A
A19,688,45,53.982908,-6.392282,N/A
A20,715,45,53.982916,-6.392247,N/A
A21,742,45,53.982923,-6.392214,N/A
A22,769,45,53.982931,-6.392176,N/A
A23,808,45,53.982941,-6.392129,N/A
A24,835,45,53.982946,-6.39209,N/A
A25,862,45,53.982952,-6.392054,N/A
A26,889,45,53.982959,-6.392019,N/A
A27,916,45,53.982967,-6.391983,Tesla
A28,943,45,53.982974,-6.39195,Tesla
A29,232,122,53.982713,-6.392832,N/A
A30,259,122,53.982717,-6.3928,N/A
A31,286,122,53.982724,-6.392764,N/A
A32,313,122,53.982729,-6.392725,N/A
A33,352,122,53.98274,-6.392676,N/A
A34,379,122,53.982747,-6.392641,N/A
A35,406,122,53.982752,-6.392605,N/A
A36,433,122,53.982759,-6.392573,N/A
A37,460,122,53.982764,-6.392534,N/A
A38,487,122,53.98277,-6.3925,N/A
A39,514,122,53.982778,-6.392465,N/A
A40,541,122,53.982784,-6.392427,N/A
A41,580,122,53.982794,-6.392377,N/A
A42,607,122,53.982801,-6.392342,N/A
A43,634,122,53.982808,-6.392306,N/A
A44,661,122,53.982813,-6.392269,N/A
A45,688,122,53.982821,-6.392235,N/A
A46,715,122,53.982827,-6.392199,N/A
A47,742,122,53.982835,-6.392166,N/A
A48,769,122,53.982841,-6.392127,N/A
A49,808,122,53.98285,-6.392078,N/A
A50,835,122,53.982858,-6.392041,N/A
A51,862,122,53.982864,-6.392007,N/A
A52,232,154,53.982667,-6.392809,N/A
A53,259,154,53.982673,-6.392775,N/A
A54,286,154,53.982679,-6.392741,N/A
A55,313,154,53.982685,-6.392706,N/A
A56,352,154,53.982698,-6.392656,N/A
A57,379,154,53.982703,-6.392621,N/A
A58,406,154,53.982709,-6.392583,N/A
A59,433,154,53.982717,-6.392551,N/A
A60,460,154,53.982722,-6.392514,N/A
A61,487,154,53.982727,-6.392477,N/A
A62,514,154,53.982735,-6.39244,N/A
A63,541,154,53.982743,-6.392404,N/A
A64,580,154,53.982752,-6.392356,N/A
A65,607,154,53.982757,-6.392319,N/A
A66,634,154,53.982764,-6.392283,N/A
A67,661,154,53.982771,-6.392248,N/A
A68,688,154,53.982778,-6.392216,N/A
A69,715,154,53.982785,-6.392178,N/A
A70,742,154,53.982791,-6.392141,N/A
A71,769,154,53.982798,-6.392107,N/A
A72,808,154,53.982808,-6.392055,N/A
A73,835,154,53.982812,-6.392019,N/A
A74,862,154,53.982821,-6.391984,N/A
A75,151,233,53.982554,-6.392866,N/A
A76,178,233,53.982558,-6.392829,N/A
A77,205,233,53.982567,-6.392797,N/A
A78,232,233,53.982575,-6.392761,N/A
A79,259,233,53.98258,-6.392727,N/A
A80,286,233,53.982589,-6.392692,N/A
A81,312,233,53.982596,-6.392654,N/A
A82,352,233,53.982605,-6.392605,N/A
A83,379,233,53.982611,-6.392569,N/A
A84,406,233,53.982617,-6.392534,N/A
A85,433,233,53.982624,-6.392501,N/A
A86,460,233,53.982632,-6.392461,N/A
A87,487,233,53.982639,-6.392427,N/A
A88,514,233,53.982644,-6.392391,N/A
A89,541,233,53.982651,-6.392355,N/A
A90,580,233,53.982661,-6.392305,N/A
A91,607,233,53.982668,-6.392269,N/A
A92,634,233,53.982673,-6.392234,N/A
